,PSD 1,PSD 2,PSD 3,PSD 4,PSD 5,PSD 6,PSD 7,PSD 8
0,11456.958955996684,11301.211848512281,9871.534114512637,11301.211848512281,9864.336265615828,11301.211848512281,10783.562601232805,11301.211848512281
1,11064.018399800296,10910.378755087291,9525.918814681105,10910.378755087291,9519.612534744847,10910.378755087291,10404.227222385545,10910.378755087291
2,1076.9875957903907,1062.1918779201055,923.8680284413215,1062.1918779201055,924.3155639117988,1062.1918779201055,1008.7227151812828,1062.1918779201055
3,10.769452643590359,11.033701248509946,9.109336188976757,11.033701248509946,9.243880578774258,11.033701248509946,10.03839984848604,11.033701248509946
4,0.1009896250199139,0.00020922101694303285,0.08914600012312568,0.00020922101694303285,0.0890024523084482,0.00020922101694303285,0.09337768902047867,0.00020922101694303285
5,0.10173746074992211,1.945874912304592e-06,0.09278008418142093,1.945874912304592e-06,0.09971912258570362,1.945874912304592e-06,0.09704107286015513,1.945874912304592e-06
6,0.0628701079317028,2.3134659449644623e-06,0.05933133236347763,2.3134659449644623e-06,0.06845975540868252,2.3134659449644623e-06,0.06344988748241547,2.3134659449644623e-06
7,0.05554871164262931,5.083212911077313e-06,0.04100304110863667,5.083212911077313e-06,0.052357799738107814,5.083212911077313e-06,0.04219612445911444,5.083212911077313e-06
8,0.05030950067398511,4.566284447686444e-06,0.030390102824248068,4.566284447686444e-06,0.041880632544194454,4.566284447686444e-06,0.030030829926185082,4.566284447686444e-06
9,0.042868089781521526,3.2973844264608927e-06,0.028424886241404646,3.2973844264608927e-06,0.03742914309360239,3.2973844264608927e-06,0.02904208406851011,3.2973844264608927e-06
10,0.041801672736102656,2.2250604217906485e-06,0.03239738868350797,2.2250604217906485e-06,0.03784925092884564,2.2250604217906485e-06,0.033592165735851685,2.2250604217906485e-06
11,0.047800256066394334,1.4766660535387568e-06,0.03972334679260516,1.4766660535387568e-06,0.04390381500566671,1.4766660535387568e-06,0.04031380778235498,1.4766660535387568e-06
12,0.05029392989711865,9.835778013628901e-07,0.04984049845712712,9.835778013628901e-07,0.05030852820673121,9.835778013628901e-07,0.050688144062388765,9.835778013628901e-07
13,0.03772852576032984,6.631361747180247e-07,0.041152102736198834,6.631361747180247e-07,0.039937570043006874,6.631361747180247e-07,0.042196918456363246,6.631361747180247e-07
14,0.023114767767108513,4.5407582046211066e-07,0.023927675707042163,4.5407582046211066e-07,0.02338296751476287,4.5407582046211066e-07,0.024435808164233037,4.5407582046211066e-07
15,0.028624508819341216,3.161011593204237e-07,0.02223722361544606,3.161011593204237e-07,0.024949006681857233,3.161011593204237e-07,0.02233195198705988,3.161011593204237e-07
16,0.03201133741211507,2.2369154522111804e-07,0.02480546546358296,2.2369154522111804e-07,0.029153207016901106,2.2369154522111804e-07,0.02568811861840723,2.2369154522111804e-07
17,0.022554770192059405,1.608138193576094e-07,0.017629687470761192,1.608138193576094e-07,0.02219704384115024,1.608138193576094e-07,0.018239785523991435,1.608138193576094e-07
18,0.017215317015791647,1.1734690482657932e-07,0.014089355142032833,1.1734690482657932e-07,0.016431020732286993,1.1734690482657932e-07,0.0135847211821692,1.1734690482657932e-07
19,0.01775104441096475,8.683284813262607e-08,0.014123391223439025,8.683284813262607e-08,0.015771370079918207,8.683284813262607e-08,0.013572524123735255,8.683284813262607e-08
20,0.013373774094027008,6.509528796872257e-08,0.008510926268402597,6.509528796872257e-08,0.01082047609484348,6.509528796872257e-08,0.008215920564233693,6.509528796872257e-08
21,0.010367545062451768,4.939390475120174e-08,0.007524965113912606,4.939390475120174e-08,0.008342909897056324,4.939390475120174e-08,0.007392745688449519,4.939390475120174e-08
22,0.01176843443297493,3.790397716752621e-08,0.01168612998725652,3.790397716752621e-08,0.010943251608516317,3.790397716752621e-08,0.011722856794454582,3.790397716752621e-08
23,0.0238188261039798,2.9392750591644877e-08,0.016195850012480074,2.9392750591644877e-08,0.018472366071460654,2.9392750591644877e-08,0.015803188572963138,2.9392750591644877e-08
24,0.034191698762069865,2.3015667097703254e-08,0.019233403835950902,2.3015667097703254e-08,0.0258966662785155,2.3015667097703254e-08,0.01851379648310616,2.3015667097703254e-08
25,0.03615627245174186,1.8186331545338067e-08,0.020074288805363185,1.8186331545338067e-08,0.027678102022803595,1.8186331545338067e-08,0.01847417427898566,1.8186331545338067e-08
26,0.017836277983575333,1.4492386308744923e-08,0.01035099728677706,1.4492386308744923e-08,0.013910398826111198,1.4492386308744923e-08,0.009836095549461034,1.4492386308744923e-08
27,0.00844869547104923,1.1640345030698454e-08,0.008187263133755882,1.1640345030698454e-08,0.007647765632973129,1.1640345030698454e-08,0.007872509479667101,1.1640345030698454e-08
28,0.014096528252895969,9.418931059124962e-09,0.011736730539582102,9.418931059124962e-09,0.011366530089815873,9.418931059124962e-09,0.010702641266836918,9.418931059124962e-09
29,0.008130091128108256,7.674405940874453e-09,0.006220247202978681,7.674405940874453e-09,0.006091352900144883,7.674405940874453e-09,0.005952305404332882,7.674405940874453e-09
30,0.006135002849141183,6.293755278207018e-09,0.005174615281937259,6.293755278207018e-09,0.005142060532985995,6.293755278207018e-09,0.005180960500101544,6.293755278207018e-09
31,0.018163090865758052,5.193101748941548e-09,0.011241161730922072,5.193101748941548e-09,0.013924037540361024,5.193101748941548e-09,0.011176005345794724,5.193101748941548e-09
32,0.023597432631950827,4.309625008067364e-09,0.012556254413777456,4.309625008067364e-09,0.01591684101608853,4.309625008067364e-09,0.011843595960168258,4.309625008067364e-09
